Model,Train Accuracy,Validation Accuracy,Precision,Recall,F1 Score,ROC-AUC,Train-Val Difference,Model Status
Random Forest,0.9596722570733581,0.899641577060932,0.7400881057268722,0.5508196721311476,0.631578947368421,0.9169246379118255,0.060030680012426174,Good Generalization
Gradient Boosting,0.9210088336960697,0.8934971838197645,0.6802973977695167,0.6,0.6376306620209059,0.915182834633137,0.027511649876305166,Good Generalization
Logistic Regression,0.8852899756753296,0.8771121351766513,0.6946107784431138,0.380327868852459,0.4915254237288136,0.8713830972465383,0.008177840498678313,Good Generalization
Decision Tree,0.9302266035078736,0.8847926267281107,0.6587301587301587,0.5442622950819672,0.5960502692998204,0.8279643482412861,0.04543397677976291,Good Generalization
