Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
1,Gradient Boosting,0.9061859893486276,0.7204610951008645,0.6544502617801047,0.6858710562414266,0.935737370603836
2,Random Forest Tuned,0.9057763211798443,0.7585034013605442,0.5837696335078534,0.6597633136094675,0.9284878797972889
3,Random Forest,0.9049569848422777,0.7568493150684932,0.5785340314136126,0.655786350148368,0.9277212289806723
4,Decision Tree Tuned,0.9020893076607948,0.7581227436823105,0.5497382198952879,0.637329286798179,0.9200826914910658
5,Logistic Regression,0.8885702580909464,0.7546296296296297,0.42670157068062825,0.5451505016722408,0.9024611652583855
6,Decision Tree,0.8963539532978287,0.7087378640776699,0.5732984293193717,0.6338639652677279,0.880333181613603
